"Year"	"Month"	"Date"	"NumberFires"
"67"	2002	6	"2002_6"	5
"68"	2002	7	"2002_7"	3
"69"	2002	8	"2002_8"	17
"70"	2002	9	"2002_9"	1
"71"	2003	3	"2003_3"	0
"72"	2003	4	"2003_4"	1
"73"	2003	5	"2003_5"	2
"74"	2003	6	"2003_6"	7
"75"	2003	7	"2003_7"	7
"76"	2003	8	"2003_8"	3
"77"	2003	9	"2003_9"	4
"78"	2004	3	"2004_3"	NA
"79"	2004	4	"2004_4"	4
"80"	2004	5	"2004_5"	3
"81"	2004	6	"2004_6"	NA
"82"	2004	7	"2004_7"	7
"83"	2004	8	"2004_8"	13
"84"	2004	9	"2004_9"	2
"85"	2005	3	"2005_3"	0
"86"	2005	4	"2005_4"	3
"87"	2005	5	"2005_5"	0
"88"	2005	6	"2005_6"	2
"89"	2005	7	"2005_7"	1
"90"	2005	8	"2005_8"	5
"91"	2005	9	"2005_9"	2
"92"	2006	3	"2006_3"	NA
"93"	2006	4	"2006_4"	NA
"94"	2006	5	"2006_5"	4
"95"	2006	6	"2006_6"	1
"96"	2006	7	"2006_7"	13
"97"	2006	8	"2006_8"	NA
"98"	2006	9	"2006_9"	NA
"99"	2007	3	"2007_3"	5
"100"	2007	4	"2007_4"	2
"101"	2007	5	"2007_5"	3
"102"	2007	6	"2007_6"	6
"103"	2007	7	"2007_7"	13
"104"	2007	8	"2007_8"	1
"105"	2007	9	"2007_9"	4
"106"	2008	3	"2008_3"	NA
"107"	2008	4	"2008_4"	NA
"108"	2008	5	"2008_5"	5
"109"	2008	6	"2008_6"	3
"110"	2008	7	"2008_7"	13
"111"	2008	8	"2008_8"	14
"112"	2008	9	"2008_9"	1
"113"	2009	3	"2009_3"	2
"114"	2009	4	"2009_4"	1
"115"	2009	5	"2009_5"	4
"116"	2009	6	"2009_6"	6
"117"	2009	7	"2009_7"	34
"118"	2009	8	"2009_8"	5
"119"	2009	9	"2009_9"	10
"120"	2010	3	"2010_3"	0
"121"	2010	4	"2010_4"	3
"122"	2010	5	"2010_5"	NA
"123"	2010	6	"2010_6"	1
"124"	2010	7	"2010_7"	5
"125"	2010	8	"2010_8"	NA
"126"	2010	9	"2010_9"	4
"127"	2011	3	"2011_3"	0
"128"	2011	4	"2011_4"	0
"129"	2011	5	"2011_5"	0
"130"	2011	6	"2011_6"	5
"131"	2011	7	"2011_7"	7
"132"	2011	8	"2011_8"	5
"133"	2011	9	"2011_9"	4
"134"	2012	3	"2012_3"	1
"135"	2012	4	"2012_4"	6
"136"	2012	5	"2012_5"	1
"137"	2012	6	"2012_6"	NA
"138"	2012	7	"2012_7"	7
"139"	2012	8	"2012_8"	4
"140"	2012	9	"2012_9"	NA
"141"	2013	3	"2013_3"	2
"142"	2013	4	"2013_4"	3
"143"	2013	5	"2013_5"	4
"144"	2013	6	"2013_6"	4
"145"	2013	7	"2013_7"	2
"146"	2013	8	"2013_8"	27
"147"	2013	9	"2013_9"	8
"148"	2014	3	"2014_3"	NA
"149"	2014	4	"2014_4"	NA
"150"	2014	5	"2014_5"	3
"151"	2014	6	"2014_6"	5
"152"	2014	7	"2014_7"	16
"153"	2014	8	"2014_8"	NA
"154"	2014	9	"2014_9"	2
"155"	2015	3	"2015_3"	5
"156"	2015	4	"2015_4"	2
"157"	2015	5	"2015_5"	4
"158"	2015	6	"2015_6"	7
"159"	2015	7	"2015_7"	17
"160"	2015	8	"2015_8"	14
"161"	2015	9	"2015_9"	1
